Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Class
7.970891953,12,0.6,55,0.4,0,0.9,0.5,-0.1,0.1,0
7.834233284,7,1,62,0.7,1,0.6,0.5,1,1,1
7.78823185,8,0.8,62,1,0,0.2,0.5,0.1,0.1,2
7.970891953,10.73347473,0.953911722,68.64054871,0.969788373,0.260659039,0.247505307,0.665933907,1.301802278,2.121098757,0
7.834233284,10.74448395,0.954201102,68.42073059,0.932086229,0.228528947,0.206005678,0.592505932,1.297693014,2.184724569,0
7.78823185,10.70107079,0.961736143,69.82499695,0.934760153,0.2863006,0.220043078,0.471823335,1.325999975,2.083353519,0
7.776208878,10.93577576,0.94686389,72.73400116,0.945428014,0.12572737,0.323240787,0.769940197,1.529229045,1.879036784,0
7.770515442,10.69190979,0.974977076,69.21250153,0.943630815,0.231267661,0.174896091,0.586689413,1.291459203,2.057426929,0
7.683358669,10.67781448,0.93889159,68.7728653,0.949335575,0.252461433,0.205769762,0.626578152,1.269446611,2.121311903,0
7.678277016,11.05094433,0.947657406,70.52483368,0.946565866,0.120922364,0.368042678,0.663340509,1.527816534,1.917715073,0
7.672449112,10.61019421,0.964562833,69.43505096,0.968580484,-0.016036268,0.132430181,0.757926285,1.497711539,2.052642107,0
7.67062664,10.65901375,0.9513399,69.74504852,0.934178948,0.01599697,0.216567531,0.723243475,1.454463124,1.980400085,0
7.659843445,10.58463955,0.953940451,71.51737213,0.948372185,-0.03667929,0.249659568,0.485727251,1.223631263,1.99170208,0
7.650346279,10.6139679,0.953765452,71.29541779,0.933948815,0.216606647,0.412659585,0.551076472,1.14445734,1.838643909,0
7.632287502,11.07575607,0.935878932,69.78147125,0.947288871,-0.008598682,0.502776325,0.540759981,1.416594386,1.772885442,0
7.631011963,10.76075649,0.944202244,70.34366608,0.883287251,0.352980554,0.418940485,0.617428839,1.174056292,1.837706566,0
7.614928722,9.436995506,0.899781644,68.6411972,0.886061072,0.065729387,0.786559105,0.521350086,0.796451211,0.517225564,0
7.604173183,10.41011333,0.966532767,70.37667847,0.878218889,0.26848489,0.294616222,0.586442232,1.360547423,1.888066411,0
7.603433609,11.06708241,0.946833968,71.086586,0.947620511,0.230559945,0.298814356,0.586871624,1.424758792,1.931402802,0
7.596331596,11.06943226,0.959742844,71.086586,0.954352319,0.106471196,0.409666121,0.657646239,1.374089599,1.950178385,0
7.593793869,10.65338516,0.936239362,71.79985046,0.916013896,0.301622629,0.406236142,0.505976021,1.257454157,1.79271102,0
7.590660095,10.58997154,0.978965282,72.80523682,0.904654503,0.233745292,0.758585632,0.257335573,1.34399116,1.545394659,0
7.588606834,10.70469189,0.964707971,70.26249695,0.920254648,0.203540042,0.170042172,0.391405106,1.312752008,2.026952028,0
7.572136879,10.95543003,0.93833375,73.17375946,0.927802444,0.095988229,0.209533513,0.787730038,1.44887805,1.955272794,0
7.568029881,10.73775673,0.982521713,70.20683289,0.894108713,0.313648462,0.486994654,0.513727903,1.304415464,1.719994903,0
7.563797951,10.73784447,0.938396096,71.17958832,0.92543155,0.32354176,0.359395891,0.603366792,1.325339198,1.885704398,0
7.560147762,10.67609787,0.929397464,71.74086761,0.944382191,0.119244285,0.253543109,0.626497209,1.430477619,2.032324076,0
7.55778265,10.73566341,0.954451501,71.3125,0.948230565,0.127811879,0.209893376,0.467660695,1.161069393,1.900531411,0
7.540877342,10.76432228,0.925944209,71.61999512,0.907310009,0.22616823,0.43330425,0.572273314,1.184740663,1.915633917,0
7.524520874,10.91154766,0.938339293,72.15909576,0.891277194,0.112297744,0.342427015,0.577988505,1.430432439,1.830298185,0
7.519909382,10.69957066,0.951437175,70.04481506,0.932627916,0.127539426,0.187407613,0.534252763,1.294512391,2.01157999,0
7.51599741,10.67973709,0.923092127,71.20975494,0.911609292,0.111786045,0.313961208,0.517427444,1.325071335,1.937760592,0
7.514424801,10.72455978,0.9597013,70.96250153,0.94143641,0.211225361,0.191016391,0.579888642,1.225186348,1.959059715,0
7.510034561,10.72054195,0.984940052,72.75598145,0.951609552,0.272110164,0.719299555,0.363518298,1.33810854,1.545734048,0
7.507559299,10.71568489,0.956344306,70.61250305,0.941572249,0.106718063,0.237218335,0.457836896,1.238178492,1.962424636,0
